,id,city,country,lat,lon,date,temperature,humidity,cloudiness,wind speed
296,2893264,Kamp-Lintfort,DE,51.5,51.5,1522958100,39.61,65,0,4.7
315,3037352,Apt,FR,43.88,43.88,1522958400,55.76,50,0,3.36
316,4145381,Wilmington,US,39.75,39.75,1522958100,44.62,31,20,19.46
326,5528182,Pecos,US,31.42,31.42,1522958100,87.8,10,1,5.82
328,1272596,Digras,IN,20.1,20.1,1522959975,77.71,55,12,10.65
331,2123979,Kurilsk,RU,45.23,45.23,1522959851,30.91,89,32,14.23
333,2015852,Svetlaya,RU,46.54,46.54,1522959975,29.38,100,56,9.08
336,2033536,Yakeshi,CN,49.28,49.28,1522959862,10.21,63,0,6.62
349,6354895,Rimouski,CA,48.45,48.45,1522958400,17.6,67,90,27.51
367,3456450,Laje,BR,-13.18,-13.18,1522959977,80.14,56,0,8.63
370,3446400,Tobias Barreto,BR,-11.19,-11.19,1522959946,84.37,53,44,8.41
373,1507873,Chik,RU,54.99,54.99,1522956600,26.6,49,0,2.24
397,3837213,Rivadavia,AR,-31.53,-31.53,1522959948,71.68,29,0,9.19
406,3392431,Pedro II,BR,-4.43,-4.43,1522959887,76.27,94,56,3.38
427,1621313,Ambulu,ID,-8.35,-8.35,1522959856,77.71,100,0,2.71
458,1684803,Tabuk,PH,17.41,17.41,1522959867,63.76,99,36,1.59
470,3691954,Sechura,PE,-5.56,-5.56,1522959922,78.16,69,56,11.43
472,3580733,Bodden Town,KY,19.28,19.28,1522958400,84.2,74,40,9.17
477,3381428,Iracoubo,GF,5.48,5.48,1522959953,80.41,74,100,4.72
480,5380437,Pacific Grove,US,36.62,36.62,1522958100,64.42,9,1,5.82
484,2094144,Kerema,PG,-7.96,-7.96,1522959868,72.13,100,76,2.93
493,3359736,Vredendal,ZA,-31.68,-31.68,1522959997,53.5,89,56,2.71
3,6065191,Altamont,CA,49.4,49.4,1522958400,25.93,57,75,3.36
27,1515029,Ulaangom,MN,49.98,49.98,1522959908,-3.92,64,0,1.14
